time,s  mass,kg  attitude,deg  air_pressure,kPa  air_density,kg/m^3  drag_force,N  gravity_force,N  thrust,N  Fx,N  Fy,N  Vx,m/s  Vy,m/s  Vt,m/s  Vr,m/s  X,m  Y,m  Alpha,rad  Radial,m  Altitude,m  Apoapsis,m  Periapsis,m  Apoapsis_Velocity,m/s  Remaining_Orbital_Velocity,m/s  Delta-V,m/s  
35.00000000000023, 395.0650596630169, 55, 34.23818306687395, 0.4070811561712879, 1568.5064450695445, 3798.4141581857193, 10000, 4778.0905590564535, 3138.8769352546747, 228.35762778848243, 319.33529289896813, 227.15038338588485, 320.19515734579494, 2288.1710371840772, 606070.252195355, 1.5670209226115224, 606074.5715857387, 6074.571585738682, 611501.8605531022, 2695.08911859106, 225.13434574281507, 2178.0883627134267, 4933.859727682699, 
35.10000000000023, 394.76524554776836, 55, 34.04248675400836, 0.4047543889726844, 1570.295687926375, 3795.12953040016, 10000, 4774.918215342395, 3142.1329363214045, 229.56799306149816, 320.1305674311805, 228.34564353530706, 321.00359923299953, 2311.127836490227, 606102.2652520981, 1.5669832464485065, 606106.6715155025, 6106.671515502501, 611562.7466871632, 2723.94199297566, 226.30845110820408, 2176.7946240128695, 4931.3275380682135, 
35.20000000000023, 394.46543143251984, 55, 33.847419428921995, 0.4024351002396258, 1572.042477546864, 3791.844563696955, 10000, 4771.780265486348, 3145.419818224661, 230.7784740885508, 320.92727251822794, 229.54089051220143, 321.8136074368118, 2334.205683899082, 606134.3579793499, 1.56694537508009, 606138.8524415948, 6138.8524415948195, 611623.8557504477, 2752.953975372283, 227.482382603886, 2175.500639117714, 4928.793424589681, 
35.30000000000023, 394.1656173172713, 55, 33.6529821663977, 0.4001233027509398, 1573.7467471686177, 3788.55925874049, 10000, 4768.6767759590075, 3148.737544163229, 231.98907977160624, 321.7254181865004, 230.73613254593639, 322.6251927210573, 2357.4045918762426, 606166.5305211686, 1.5669073085328504, 606171.1145217005, 6171.11452170054, 611685.188869585, 2782.125376116272, 228.65614726469548, 2174.206398972702, 4926.25738432152, 
35.40000000000023, 393.8658032020228, 55, 33.45917601770178, 0.39781900900585, 1575.4084337639858, 3785.2736161885337, 10000, 4765.607810153532, 3152.0860757211203, 233.1998190498355, 322.52501447569546, 231.93137789935562, 323.4383658645491, 2380.7245737812264, 606198.7830226162, 1.5668690468320863, 606203.4579145826, 6203.45791458257, 611746.7471794332, 2811.456511217698, 229.8297521478181, 2172.91189448602, 4923.719414331463, 
35.500000000000234, 393.56598908677427, 55, 33.26600201069369, 0.3955222312252797, 1577.0274780072086, 3781.9876366922776, 10000, 4762.573428405041, 3155.4653728900475, 234.41070089894612, 323.32607143845183, 233.12663486808222, 324.25313766075095, 2404.165643871121, 606231.11562976, 1.5668305900018122, 606235.882780083, 6235.8827800829895, 611808.5318231188, 2840.9477023736918, 231.00320433200795, 2171.6171165300298, 4921.179511680551, 
35.600000000000236, 393.26617497152574, 55, 33.07346114993069, 0.3932329813530967, 1578.6038242414802, 3778.701320896373, 10000, 4759.57368801037, 3158.875394091807, 235.6217343305161, 324.1285991399871, 234.32191177982423, 325.06951891744484, 2427.7278173041727, 606263.528489674, 1.566791938064754, 606268.389279125, 6268.3892791250255, 611870.543952076, 2870.5992769803834, 232.17651091680332, 2170.3220559419956, 4918.6376734231035, 
35.70000000000024, 392.9663608562772, 55, 32.88155441678121, 0.39095127105746114, 1580.1374204465765, 3775.414669438981, 10000, 4756.608643247739, 3162.3160961999915, 236.83292839133009, 324.93260765774005, 235.51721699368252, 325.8875204564028, 2451.411110143306, 606296.0217504398, 1.566753091042343, 606300.9775737135, 6300.9775737135205, 611932.7847260869, 2900.411568144339, 233.34967902173705, 2169.026703524819, 4916.093896606699, 
35.80000000000024, 392.6665467410287, 55, 32.69028276952709, 0.38867711173204034, 1581.6282182061173, 3772.127682951807, 10000, 4753.6783453968865, 3165.787434561865, 238.04429216271825, 325.7381070810167, 236.71255889946278, 326.70715311306213, 2475.2155393595776, 606328.5955611479, 1.566714048954714, 606333.6478269373, 6333.64782693726, 611995.2553133217, 2930.3849146940934, 234.52271578556457, 2167.7310500477565, 4913.548178272157, 
35.90000000000024, 392.3667326257802, 55, 32.49964714347581, 0.38641051449734437, 1583.0761726754731, 3768.8403620601534, 10000, 4750.782842759009, 3169.2893630195363, 239.25583475989754, 326.54510751064095, 237.90794591698767, 327.52842773620597, 2499.1411228355673, 606361.2500718989, 1.5666748118206988, 606366.4002029696, 6366.400202969555, 612057.9568903797, 2960.51966119091, 235.69562836547507, 2166.435086247151, 4911.0005154535165, 
36.00000000000024, 392.06691851053165, 55, 32.30964845106502, 0.38415149020196787, 1584.481242549467, 3765.552707382954, 10000, 4747.922180677043, 3172.8218339311684, 240.46756533131574, 327.3536190586088, 239.10338649541376, 328.35135518764673, 2523.1878793686988, 606393.9854338048, 1.566635379657822, 606399.2348670701, 6399.234867070103, 612120.8906423298, 2990.8161579395937, 236.86842393631875, 2165.138802827148, 4908.450905178014, 
36.10000000000024, 391.7671043952831, 55, 32.120287581972306, 0.3819000494238956, 1585.843390030507, 3762.2647195328223, 10000, 4745.096401555911, 3176.384798191637, 241.6794930579981, 328.16365184774696, 240.29888911254994, 329.17594634191397, 2547.3558286744988, 606426.8017989895, 1.5665957524822982, 606432.1519855859, 6432.151985585922, 612184.0577627529, 3021.2747609988824, 238.0411096898309, 2163.8421904604133, 4905.899344466065, 
36.200000000000244, 391.4672902800346, 55, 31.931565403221235, 0.37965620247176335, 1587.1625807967198, 3758.9763991160944, 10000, 4742.305544882961, 3179.9782052530923, 242.8916271528965, 328.97521601137555, 241.49446227417943, 330.0022120859462, 2571.6449913897886, 606459.6993205907, 1.5665559303090268, 606465.1517259529, 6465.151725952863, 612247.4594537826, 3051.8958321915798, 239.2136928338594, 2162.54523978885, 4903.345830331239, 
36.300000000000246, 391.1674761647861, 55, 31.743482759291922, 0.3774199593861723, 1588.4387839704798, 3755.687746732882, 10000, 4739.549647248335, 3183.6020031450216, 244.1039768602416, 329.7883216929741, 242.69011451338258, 330.83016331878684, 2596.055389075813, 606492.67815276, 1.5665159131515878, 606498.2342566963, 6498.234256696305, 612311.0969261484, 3082.679739114236, 240.38618059158756, 2161.2479414243157, 4900.790359780244, 
36.40000000000025, 390.86766204953756, 55, 31.556040472225263, 0.3751913299409284, 1589.6719720868243, 3752.398762977103, 10000, 4736.828742365652, 3187.2561384942687, 245.31655145489754, 330.60297904585195, 243.88585438986536, 331.659810951283, 2620.5870442213027, 606525.7384506646, 1.5664757010222394, 606531.3997474329, 6531.399747432908, 612374.9713992169, 3113.6268551468725, 241.55858020077247, 2159.9502859493277, 4898.2329298129, 
36.50000000000025, 390.56784793428903, 55, 31.369239341730935, 0.3729703236443266, 1590.8621210622366, 3749.1094484365394, 10000, 4734.142861092577, 3190.9405565446527, 246.52936024171947, 331.4191982328224, 245.08169048928812, 332.4911659057893, 2645.2399802454747, 606558.8803704878, 1.5664352939319126, 606564.6483688717, 6564.648368871654, 612439.0841010365, 3144.7375594622013, 242.73089891297508, 2158.6522639177706, 4895.673537422123, 
36.60000000000025, 390.2680338190405, 55, 31.1830801452977, 0.3707569497404619, 1592.0092101637438, 3745.819803692882, 10000, 4731.492031451453, 3194.655201176137, 247.74241255491398, 332.2369894258802, 246.27763142259838, 333.3242391158741, 2670.014221500966, 606592.1040694304, 1.566394691890209, 606597.9802928144, 6597.9802928144345, 612503.4362683791, 3176.0122370344966, 243.90314399279183, 2157.353865855609, 4893.112179593901, 
36.70000000000025, 389.968219703792, 55, 30.997563638296192, 0.36855121721045214, 1593.113221977835, 3742.5298293217734, 10000, 4728.876278650145, 3198.4000149240787, 248.95571775740228, 333.05636280588334, 247.47368582536666, 334.1590415260303, 2694.9097932767063, 606625.409705711, 1.5663538949053963, 606631.3956921579, 6631.395692157908, 612568.0291467848, 3207.4512786484806, 245.0753227170972, 2156.0550822615814, 4890.5488533072685, 
36.80000000000025, 389.66840558854346, 55, 30.812690554087354, 0.3663531347737267, 1594.1741423798615, 3739.239525892852, 10000, 4726.295625102792, 3202.1749389979454, 250.16928524018624, 333.87732856223784, 248.6698623571241, 334.9955840913894, 2719.926721800725, 606658.7974385672, 1.5663129029844056, 606664.8947408943, 6664.89474089432, 612632.8639906057, 3239.055080907704, 246.24744237428106, 2154.7559036079047, 4887.983555534299, 
36.900000000000254, 389.36859147329494, 55, 30.62846160413177, 0.36416271088932667, 1595.1919605036921, 3735.9488939698126, 10000, 4723.750090450565, 3205.979913299672, 251.3831244217174, 334.69989689258654, 249.8661697007043, 335.83387777743854, 2745.0650342428967, 606692.2674282565, 1.566271716132828, 606698.4776141121, 6698.477614112082, 612697.94206305, 3270.824046242678, 247.41951026348764, 2153.4563203409734, 4885.416283240064, 
